#reqtime=1732320360.978,2024-11-23 00:06:00.978,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=360&dataTypes.0=1104.7235723519698&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,OUTL_east,OUTL_north,OUTL_up
1234267200.000,2009-02-10 12:00:00,        -0.273454,         0.190023,         0.352350
1234353600.000,2009-02-11 12:00:00,        -0.274310,         0.191995,         0.356159
1234440000.000,2009-02-12 12:00:00,        -0.272759,         0.188305,         0.350938
1234526400.000,2009-02-13 12:00:00,        -0.274791,         0.189826,         0.343692
1234612800.000,2009-02-14 12:00:00,        -0.271919,         0.188107,         0.364283
1234699200.000,2009-02-15 12:00:00,        -0.272262,         0.181654,         0.357288
1234785600.000,2009-02-16 12:00:00,        -0.277465,         0.185976,         0.356160
1234872000.000,2009-02-17 12:00:00,        -0.274400,         0.186508,         0.353874
1234958400.000,2009-02-18 12:00:00,        -0.275852,         0.183850,         0.352159
1235044800.000,2009-02-19 12:00:00,        -0.275157,         0.183601,         0.363443
1235131200.000,2009-02-20 12:00:00,        -0.277990,         0.185059,         0.356467
1235217600.000,2009-02-21 12:00:00,        -0.277893,         0.188414,         0.353822
1235304000.000,2009-02-22 12:00:00,        -0.277015,         0.188065,         0.350705
1235390400.000,2009-02-23 12:00:00,        -0.274537,         0.189406,         0.360925
1235476800.000,2009-02-24 12:00:00,        -0.274786,         0.190804,         0.359693
1235563200.000,2009-02-25 12:00:00,        -0.277953,         0.187052,         0.367885
1235649600.000,2009-02-26 12:00:00,        -0.276789,         0.183749,         0.366899
1235736000.000,2009-02-27 12:00:00,        -0.276370,         0.183054,         0.360994
1235822400.000,2009-02-28 12:00:00,        -0.271633,         0.183430,         0.345639
1235908800.000,2009-03-01 12:00:00,        -0.270934,         0.183914,         0.350363
1235995200.000,2009-03-02 12:00:00,        -0.276433,         0.185132,         0.337869
1236081600.000,2009-03-03 12:00:00,        -0.276092,         0.183920,         0.357177
1236168000.000,2009-03-04 12:00:00,        -0.277043,         0.182751,         0.353659
1236254400.000,2009-03-05 12:00:00,        -0.272255,         0.187221,         0.356812
1236340800.000,2009-03-06 12:00:00,        -0.275539,         0.186972,         0.356025
1236427200.000,2009-03-07 12:00:00,        -0.271348,         0.189601,         0.339274
1236513600.000,2009-03-08 12:00:00,        -0.275711,         0.189553,         0.344712
1236600000.000,2009-03-09 12:00:00,        -0.274979,         0.189734,         0.349356
1236686400.000,2009-03-10 12:00:00,        -0.271024,         0.184322,         0.350044
1236772800.000,2009-03-11 12:00:00,        -0.272910,         0.186405,         0.347290
1236859200.000,2009-03-12 12:00:00,        -0.275143,         0.187870,         0.345505
1236945600.000,2009-03-13 12:00:00,        -0.272829,         0.189533,         0.350739
1237032000.000,2009-03-14 12:00:00,        -0.273548,         0.187462,         0.341724
